config_hash,task_pool_id,wireless_index,factor,value,distance_layer,n_users,mean_distance_m,offload_rate,mean_end_to_end_delay_seconds,mean_service_quality
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,uplink_power_w,0.1,near,34,195.0705207517834,0.17647058823529413,41.12976839388537,0.026281977546547288
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,uplink_power_w,0.1,middle,32,336.4090451155847,0.125,38.655538917720826,0.030726328230284098
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,uplink_power_w,0.1,far,34,445.35078440573085,0.11764705882352941,46.555172475929,0.02587258269697462
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,uplink_power_w,0.2,near,34,195.0705207517834,0.17647058823529413,41.12884206144557,0.026282409331705732
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,uplink_power_w,0.2,middle,32,336.4090451155847,0.125,38.65545728594057,0.030726413915436106
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,uplink_power_w,0.2,far,34,445.35078440573085,0.11764705882352941,46.55504166367216,0.025872683955733274
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,uplink_power_w,0.4,near,34,195.0705207517834,0.17647058823529413,41.12808151955233,0.026282761930309276
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,uplink_power_w,0.4,middle,32,336.4090451155847,0.125,38.65540680962627,0.030726467465563612
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,uplink_power_w,0.4,far,34,445.35078440573085,0.11764705882352941,46.55496473808961,0.025872743872629434
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,downlink_power_w,0.5,near,34,195.0705207517834,0.20588235294117646,40.35760447438474,0.02662602712471266
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,downlink_power_w,0.5,middle,32,336.4090451155847,0.09375,39.40805085099237,0.03032057059349263
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,downlink_power_w,0.5,far,34,445.35078440573085,0.08823529411764706,47.22481711029394,0.025462666462636684
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,downlink_power_w,1.0,near,34,195.0705207517834,0.17647058823529413,41.12884206144557,0.026282409331705732
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,downlink_power_w,1.0,middle,32,336.4090451155847,0.125,38.65545728594057,0.030726413915436106
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,downlink_power_w,1.0,far,34,445.35078440573085,0.11764705882352941,46.55504166367216,0.025872683955733274
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,downlink_power_w,2.0,near,34,195.0705207517834,0.17647058823529413,40.24849661499665,0.02598610532397662
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,downlink_power_w,2.0,middle,32,336.4090451155847,0.09375,39.25861361729723,0.030233608209019838
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,downlink_power_w,2.0,far,34,445.35078440573085,0.17647058823529413,45.158049772722286,0.026653424184890567
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,path_loss_exponent,3.0,near,34,195.0705207517834,0.17647058823529413,40.19428648079952,0.025946779198752608
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,path_loss_exponent,3.0,middle,32,336.4090451155847,0.125,38.64221817318269,0.030740358548823614
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,path_loss_exponent,3.0,far,34,445.35078440573085,0.20588235294117646,43.760997087252754,0.026876285400350364
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,path_loss_exponent,3.5,near,34,195.0705207517834,0.17647058823529413,41.12884206144557,0.026282409331705732
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,path_loss_exponent,3.5,middle,32,336.4090451155847,0.125,38.65545728594057,0.030726413915436106
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,path_loss_exponent,3.5,far,34,445.35078440573085,0.11764705882352941,46.55504166367216,0.025872683955733274
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,path_loss_exponent,3.8,near,34,195.0705207517834,0.2647058823529412,39.49843961230958,0.027820311544217446
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,path_loss_exponent,3.8,middle,32,336.4090451155847,0.0625,40.11781764124825,0.029881670495404508
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,path_loss_exponent,3.8,far,34,445.35078440573085,0.029411764705882353,48.89385877422068,0.024791203457404574
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,3,bandwidth_mhz,10.0,near,34,212.3404723169349,0.11764705882352941,43.31543308281217,0.025275299215636766
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,3,bandwidth_mhz,10.0,middle,33,353.4561190651264,0.18181818181818182,44.13707627004651,0.02721189508419253
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,3,bandwidth_mhz,10.0,far,33,459.43680029268035,0.0,41.94545454545455,0.02852547010298595
