config_hash,task_pool_id,wireless_index,wireless_seed,resource_scenario,workload_capacity_fraction,memory_available_gb_config,algorithm_seed,algorithm,strategy_bits
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,abundant,1.0,13.0,20264730,legacy_count_br,1000000011000010100000000000100011000001100000110100010100000000010000001101101000000011001001001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,abundant,1.0,13.0,20264730,random_feasible,1001001011111100101000010001110110000001001101111110010000100010010110010000111110001011011100101110
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,abundant,1.0,13.0,20264730,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,abundant,1.0,13.0,20264730,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,abundant,1.0,13.0,20264730,qdp_oracle,0000000000000010000000000000000001000000000010010000010000010000010000000100000000000010000000001100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,moderate,0.6,5.0,20264730,wa_mcbr,0000000000000000000000000000000001000000000010010000010000010000010000000100000000000010000000001100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,moderate,0.6,5.0,20264730,wa_mcbr_swap,0000000000000000000000000000000001000000000010010000010000010000010000000100000000000010000000001100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,moderate,0.6,5.0,20264730,capacity_greedy,0000000000000000000000000000000001000000000010010000010000010000010000000100000000000010000000001100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,moderate,0.6,5.0,20264730,lagrangian_relaxation,0000000011000010000000000000010001010000000010110000110000010000010000001100000000000010000000001100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,moderate,0.6,5.0,20264730,legacy_count_br,1000000010000010000000001000100010000001100100110000010000000000000000001000100000000010001000010100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,moderate,0.6,5.0,20264730,random_feasible,1000000011000000100000000000100010000001000000110100010000000000010000000000101000000011001000001010
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,moderate,0.6,5.0,20264730,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,moderate,0.6,5.0,20264730,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,moderate,0.6,5.0,20264730,qdp_oracle,0000000000000000000000000000000001000000000010010000010000010000010000000100000000000010000000001100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,highly_constrained,0.3,2.0,20264730,wa_mcbr,0000000010000010000000000000000000000000000000010000010000000000000000001000000000000010000000000100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,highly_constrained,0.3,2.0,20264730,wa_mcbr_swap,0000000000000000000000000000000001000000000000010000010000010000000000000100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,highly_constrained,0.3,2.0,20264730,capacity_greedy,0000000000000000000000000000000000000000000010010000000000010000000000000100000000000010000000000100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,highly_constrained,0.3,2.0,20264730,lagrangian_relaxation,0000000000000000000000000000000001000000000000010000010000010000000000000100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,highly_constrained,0.3,2.0,20264730,legacy_count_br,0000000010000010000000000000000000000000000000010000010000000000000000001000000000000010000000000100
